meter_id,date,temp_normed,log_mean_z,log_std_z
12,2018-09-04,0.9092561,0.41717777,0.6154584
13,2018-09-04,0.9092561,-0.41580144,-0.28784925
14,2018-09-04,0.9092561,-0.5852439,-0.8339269
15,2018-09-04,0.9092561,1.5656546,0.06215802
16,2018-09-04,0.9092561,0.20491505,0.5180338
17,2018-09-04,0.9092561,0.50302297,1.5123628
18,2018-09-04,0.9092561,-1.0934904,-0.1088287
19,2018-09-04,0.9092561,-0.47180864,-0.11059637
20,2018-09-04,0.9092561,1.2445022,1.1238894
21,2018-09-04,0.9092561,-2.1821806,-1.941239
22,2018-09-04,0.9092561,-0.90392447,-0.23096415
23,2018-09-04,0.9092561,-0.7544725,-1.3487602
0,2018-09-05,1.0173309,-1.0300405,-0.555276
1,2018-09-05,1.0173309,-0.6184061,0.028319236
2,2018-09-05,1.0173309,-2.3702118,-1.217202
3,2018-09-05,1.0173309,-0.16183876,0.55801255
4,2018-09-05,1.0173309,1.5408814,1.598098
5,2018-09-05,1.0173309,1.177245,0.8361886
6,2018-09-05,1.0173309,1.3088759,1.9756103
7,2018-09-05,1.0173309,-1.0488286,-0.59012794
8,2018-09-05,1.0173309,-0.8828366,-0.2600325
9,2018-09-05,1.0173309,0.87538797,-0.0035274865
10,2018-09-05,1.0173309,0.8757169,0.9653959
11,2018-09-05,1.0173309,-0.47475854,-0.20456831
12,2018-09-05,1.0173309,0.49867794,0.60486233
13,2018-09-05,1.0173309,-0.47403735,-0.4372081
14,2018-09-05,1.0173309,-1.2109371,0.3459069
15,2018-09-05,1.0173309,1.5822704,-0.22848418
16,2018-09-05,1.0173309,0.20107558,0.41077083
17,2018-09-05,1.0173309,0.61457723,1.1928147
18,2018-09-05,1.0173309,-1.1325955,-0.15192567
19,2018-09-05,1.0173309,-0.42889065,0.023059746
20,2018-09-05,1.0173309,1.4302263,1.0347903
21,2018-09-05,1.0173309,-2.2355068,-1.8518157
22,2018-09-05,1.0173309,-0.8279827,-0.70611864
23,2018-09-05,1.0173309,-0.7544936,-1.2132506
0,2018-09-06,0.747149,-1.2255324,-1.6722414
1,2018-09-06,0.747149,-0.56291825,0.025156138
2,2018-09-06,0.747149,-2.0778012,-1.5989242
3,2018-09-06,0.747149,-0.1488748,0.5727776
4,2018-09-06,0.747149,1.4565272,1.3704736
5,2018-09-06,0.747149,1.1637062,0.89352745
6,2018-09-06,0.747149,1.193178,2.038143
7,2018-09-06,0.747149,-1.1803632,-0.85144734
8,2018-09-06,0.747149,-0.57216704,-0.08951162
9,2018-09-06,0.747149,0.8532945,0.10791178
10,2018-09-06,0.747149,0.8269046,0.32681462
11,2018-09-06,0.747149,-0.29823592,0.2227393
12,2018-09-06,0.747149,0.60926694,0.92984295
13,2018-09-06,0.747149,-0.5727396,-0.6048499
14,2018-09-06,0.747149,-0.93480015,0.023315586
15,2018-09-06,0.747149,1.5962381,-0.16877429
16,2018-09-06,0.747149,0.47893888,0.8775319
17,2018-09-06,0.747149,0.79151964,1.3417213
18,2018-09-06,0.747149,-0.89340526,-0.5816824
